w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
-1.2215028826858036e-6 + 0.0im	-0.1922931366353169 - 0.028948565859458597im	-0.20192453262194424 - 0.0005938644354192473im	-0.2019245326219443 - 0.0005938644354192482im	0.009631392713853784 - 0.028354701423929807im
-1.2094087947384193e-6 + 0.0im	-0.192293305290114 - 0.028948568843438445im	-0.20192481854289762 - 0.0005938687035065596im	-0.20192481854289768 - 0.0005938687035065612im	0.009631510022391153 - 0.02835470013982256im
-1.1974344502360588e-6 + 0.0im	-0.19229347475334688 - 0.028948571888168587im	-0.20192510606144468 - 0.0005938729382407229im	-0.20192510606144462 - 0.0005938729382407241im	0.009631628122078843 - 0.02835469894981874im
-1.1855786636000582e-6 + 0.0im	-0.19229364506570504 - 0.028948575004945153im	-0.20192539525071837 - 0.0005938771460971316im	-0.20192539525071848 - 0.000593877146097133im	0.009631747051672846 - 0.02835469785873909im
-1.1738402609901566e-6 + 0.0im	-0.1922938162714947 - 0.02894857820511645im	-0.2019256861807467 - 0.0005938813337111304im	-0.2019256861807467 - 0.0005938813337111311im	0.009631866853722776 - 0.028354696871296606im
-1.1622180801882738e-6 + 0.0im	-0.1922939906031927 - 0.028948581500006596im	-0.20192597899614068 - 0.0005938855078317242im	-0.20192597899614068 - 0.0005938855078317254im	0.009631987574978084 - 0.02835469599206639im
-1.1507109704834394e-6 + 0.0im	-0.19229416373678576 - 0.02894858490083836im	-0.20192627377083783 - 0.000593889675274014im	-0.20192627377083794 - 0.000593889675274015im	0.009632109271792765 - 0.028354695225456056im
-1.1393177925578608e-6 + 0.0im	-0.19229433793770015 - 0.02894858841865606im	-0.2019265706170831 - 0.0005938938428707678im	-0.2019265706170831 - 0.000593893842870769im	0.00963223198745054 - 0.02835469457567725im
-1.1280374183741195e-6 + 0.0im	-0.19229451323909322 - 0.02894859206424886im	-0.2019268696589225 - 0.0005938980174235789im	-0.2019268696589225 - 0.0005938980174235801im	0.009632355798788739 - 0.028354694046717453im
-1.1168687310634845e-6 + 0.0im	-0.19229468971820385 - 0.02894859584807515im	-0.20192717103465627 - 0.000593902205654026im	-0.20192717103465632 - 0.0005939022056540269im	0.009632480772430202 - 0.02835469364231355im
-1.1058106248153311e-6 + 0.0im	-0.19229486745170993 - 0.028948599780188804im	-0.2019274748997929 - 0.0005939064141553142im	-0.2019274748997929 - 0.0005939064141553151im	0.009632606988157055 - 0.028354693365926147im
-1.0948620047676546e-6 + 0.0im	-0.192295046526755 - 0.02894860387016802im	-0.20192778143073628 - 0.0005939106493448136im	-0.20192778143073628 - 0.0005939106493448145im	0.009632734536533665 - 0.028354693220716178im
-1.084021786898668e-6 + 0.0im	-0.19229522704401808 - 0.02894860812704705im	-0.20192809104700055 - 0.0005939149174179666im	-0.20192809104700055 - 0.0005939149174179678im	0.00963286352130785 - 0.02835469320952231im
-1.0732888979194733e-6 + 0.0im	-0.19229540911757376 - 0.02894861255925165im	-0.20192840333246725 - 0.0005939192243039887im	-0.20192840333246725 - 0.00059391922430399im	0.009632993942618611 - 0.028354693334841176im
-1.0626622751677954e-6 + 0.0im	-0.1922955927429765 - 0.02894861717453953im	-0.2019287192467021 - 0.0005939235756237978im	-0.2019287192467021 - 0.0005939235756237993im	0.009633126166218052 - 0.028354693598809554im
-1.0521408665027677e-6 + 0.0im	-0.19229577836271705 - 0.028948621979944897im	-0.20192903885239336 - 0.0005939279766505909im	-0.2019290388523934 - 0.0005939279766505914im	0.009633260258659064 - 0.028354694003188404im
-1.04172363020076e-6 + 0.0im	-0.19229596605873042 - 0.028948626981729165im	-0.20192936259859018 - 0.0005939324322734549im	-0.20192936259859023 - 0.0005939324322734558im	0.009633396426093534 - 0.0283546945493501im
-1.0314095348522376e-6 + 0.0im	-0.19229615610830258 - 0.028948632185337716im	-0.20192969103008432 - 0.0005939369469643933im	-0.2019296910300842 - 0.0005939369469643941im	0.00963353494228282 - 0.028354695238268036im
-1.0211975592596412e-6 + 0.0im	-0.1922963488987036 - 0.028948637595363116im	-0.20193002489806652 - 0.0005939415247491265im	-0.20193002489806652 - 0.0005939415247491275im	0.009633676177873285 - 0.028354696070509052im
-1.0110866923362784e-6 + 0.0im	-0.19229654498459858 - 0.028948643215515504im	-0.2019303653084279 - 0.0005939461691819633im	-0.2019303653084279 - 0.0005939461691819643im	0.00963382092960497 - 0.02835469704622895im
-1.0010759330062162e-6 + 0.0im	-0.19229674574627495 - 0.02894864904860049im	-0.20193071477341 - 0.000593950883325064im	-0.20193071477341004 - 0.0005939508833250653im	0.009633969766580935 - 0.028354698165171124im
1.0010759330062162e-6 + 0.0im	-0.19229817638510807 - 0.02898956939109498im	-0.20193095749957427 - 0.0006694171262179012im	-0.20193095749957427 - 0.000669417126217901im	0.0096327824573435 - 0.02832015226496706im
1.0110866923362784e-6 + 0.0im	-0.1922979967731744 - 0.028989566568121714im	-0.2019306097011115 - 0.0006694230534500558im	-0.2019306097011115 - 0.000669423053450056im	0.009632614145278821 - 0.028320143514761816im
1.0211975592596412e-6 + 0.0im	-0.1922978220117016 - 0.028989563884380752im	-0.20193027093273222 - 0.0006694289075743522im	-0.20193027093273228 - 0.0006694289075743524im	0.009632449656459078 - 0.028320134976896824im
1.0314095348522376e-6 + 0.0im	-0.19229765141506996 - 0.02898956133896792im	-0.2019299386759866 - 0.0006694346883879714im	-0.2019299386759866 - 0.0006694346883879713im	0.009632287823105117 - 0.028320126650670605im
1.04172363020076e-6 + 0.0im	-0.19229748403746566 - 0.028989558930403735im	-0.2019296118298963 - 0.0006694403962429437im	-0.20192961182989635 - 0.0006694403962429435im	0.00963212820679276 - 0.028320118534251596im
1.0521408665027677e-6 + 0.0im	-0.19229731943584344 - 0.02898955665664457im	-0.2019292896450747 - 0.0006694460320537748im	-0.20192928964507473 - 0.0006694460320537744im	0.00963197049401311 - 0.028320110624681812im
1.0626622751677954e-6 + 0.0im	-0.19229715728566685 - 0.028989554515098895im	-0.201928971578749 - 0.0006694515972997646im	-0.201928971578749 - 0.000669451597299764im	0.00963181446254969 - 0.028320102917890305im
1.0732888979194733e-6 + 0.0im	-0.1922969973328295 - 0.028989552502646957im	-0.20192865718397107 - 0.0006694570940220765im	-0.2019286571839711 - 0.0006694570940220762im	0.009631660049598333 - 0.028320095408716182im
1.084021786898668e-6 + 0.0im	-0.19229683950509108 - 0.028989550615665417im	-0.20192834639986276 - 0.0006694625248156508im	-0.20192834639986276 - 0.0006694625248156509im	0.00963150689741365 - 0.02832008809094127im
1.0948620047676546e-6 + 0.0im	-0.19229668336399366 - 0.02898954885005533im	-0.20192803827085648 - 0.0006694678928161131im	-0.20192803827085648 - 0.0006694678928161129im	0.009631355013955064 - 0.028320080957330823im
1.1058106248153311e-6 + 0.0im	-0.19229652890915022 - 0.028989547201273388im	-0.2019277332142877 - 0.0006694732016818337im	-0.20192773321428772 - 0.0006694732016818334im	0.009631204310879887 - 0.02832007399968334im
1.1168687310634845e-6 + 0.0im	-0.19229637601701977 - 0.02898954566436679im	-0.20192743081398987 - 0.0006694784555713952im	-0.20192743081398987 - 0.0006694784555713952im	0.009631054710171854 - 0.028320067208887346im
1.1280374183741195e-6 + 0.0im	-0.19229622457991774 - 0.028989544234010494im	-0.20192713089660771 - 0.0006694836591166864im	-0.20192713089660774 - 0.0006694836591166863im	0.009630906144795687 - 0.028320060574985886im
1.1393177925578608e-6 + 0.0im	-0.19229607450316627 - 0.02898954290454715im	-0.201926833309807 - 0.0006694888173919372im	-0.201926833309807 - 0.000669488817391937im	0.009630758556097546 - 0.02832005408724738im
1.1507109704834394e-6 + 0.0im	-0.19229592563391917 - 0.028989541670028894im	-0.20192653791855722 - 0.0006694939358790045im	-0.20192653791855722 - 0.0006694939358790041im	0.009630611881919347 - 0.028320047734242147im
1.1622180801882738e-6 + 0.0im	-0.19229577804107242 - 0.028989540524260893im	-0.2019262446021743 - 0.0006694990204292553im	-0.20192624460217434 - 0.0006694990204292552im	0.009630466107718222 - 0.028320041503923993im
1.1738402609901566e-6 + 0.0im	-0.19229562945323952 - 0.028989539460846335im	-0.2019259532518513 - 0.0006695040772224252im	-0.20192595325185134 - 0.0006695040772224245im	0.009630321158299057 - 0.02832003538371638im
1.1855786636000582e-6 + 0.0im	-0.1922954840658503 - 0.028989538473232122im	-0.20192566379714774 - 0.0006695091127228397im	-0.20192566379714774 - 0.0006695091127228393im	0.00963017700630885 - 0.02832002936060188im
1.1974344502360588e-6 + 0.0im	-0.19229533969719023 - 0.028989537554755255im	-0.20192537609679848 - 0.0006695141336334118im	-0.2019253760967985 - 0.000669514133633411im	0.009630033615710052 - 0.028320023421214473im
1.2094087947384193e-6 + 0.0im	-0.19229519629794176 - 0.0289895366986891im	-0.20192509008441076 - 0.0006695191468478395im	-0.20192509008441076 - 0.000669519146847839im	0.009629890952789216 - 0.028320017551933956im
1.2215028826858036e-6 + 0.0im	-0.1922950538227539 - 0.02898953589828989im	-0.2019248056897837 - 0.0006695241594014382im	-0.2019248056897837 - 0.0006695241594014376im	0.00962974898556226 - 0.028320011738981243im
1.2337179115126616e-6 + 0.0im	-0.19229493281994742 - 0.02898953514684237im	-0.2019245228428693 - 0.0006695291784210447im	-0.2019245228428693 - 0.0006695291784210445im	0.009629607681044684 - 0.028320005968514157im
1.2460550906277882e-6 + 0.0im	-0.19229477148421914 - 0.028989534437704488im	-0.20192424144629928 - 0.0006695342110744439im	-0.20192424144629928 - 0.0006695342110744436im	0.009629467021915687 - 0.028320000226722965im
1.2585156415340661e-6 + 0.0im	-0.192294631550563 - 0.02898953376435115im	-0.20192396149733222 - 0.0006695392645197504im	-0.20192396149733222 - 0.0006695392645197501im	0.00962932696454943 - 0.0283199944999244im
1.2711007979494069e-6 + 0.0im	-0.19229449239767327 - 0.028989533120416036im	-0.20192368290916002 - 0.0006695443458551894im	-0.20192368290916002 - 0.0006695443458551889im	0.009629187488674392 - 0.028319988774653828im
1.2838118059289008e-6 + 0.0im	-0.19229435399882502 - 0.028989532499731744im	-0.20192340562529393 - 0.0006695494620697086im	-0.20192340562529398 - 0.0006695494620697086im	0.009629048566963347 - 0.02831998303775505im
1.2966499239881899e-6 + 0.0im	-0.19229421632609497 - 0.02898953189636808im	-0.2019231295966338 - 0.0006695546199948222im	-0.2019231295966338 - 0.0006695546199948219im	0.009628910173015003 - 0.02831997727646633im
1.3096164232280718e-6 + 0.0im	-0.19229407935871864 - 0.028989531304667446im	-0.20192285477129135 - 0.0006695598262581062im	-0.2019228547712914 - 0.0006695598262581059im	0.009628772280942978 - 0.028319971478502383im
1.3227125874603525e-6 + 0.0im	-0.1922939430724647 - 0.02898953071927804im	-0.2019225811026769 - 0.0006695650872387247im	-0.2019225811026769 - 0.0006695650872387245im	0.009628634865879428 - 0.0283199656321324im
1.3359397133349562e-6 + 0.0im	-0.1922938096052557 - 0.028989530135184224im	-0.20192230854603954 - 0.0006695704090253353im	-0.20192230854603954 - 0.000669570409025335im	0.009628497893641327 - 0.028319959726251974im
1.3492991104683058e-6 + 0.0im	-0.19229367462783795 - 0.028989529547733567im	-0.20192203706095618 - 0.0006695757973767318im	-0.20192203706095618 - 0.0006695757973767318im	0.009628361356433277 - 0.028319953750449944im
1.362792101572989e-6 + 0.0im	-0.19229354027939446 - 0.028989528952661315im	-0.20192176660321376 - 0.0006695812576855189im	-0.20192176660321376 - 0.000669581257685519im	0.009628225216919424 - 0.02831994769506889im
1.3764200225887189e-6 + 0.0im	-0.19229340654574387 - 0.02898952834611109im	-0.20192150100447084 - 0.00066958679494511im	-0.20192150100447084 - 0.0006695867949451093im	0.009628089452757616 - 0.028319941551259106im
1.3901842228146062e-6 + 0.0im	-0.19229327341361188 - 0.028989527724652655im	-0.20192123248814015 - 0.000669592413720293im	-0.20192123248814015 - 0.0006695924137202925im	0.009627954039569933 - 0.02831993531102545im
1.4040860650427523e-6 + 0.0im	-0.19229314087090651 - 0.02898952708529595im	-0.2019209648866123 - 0.0006695981181215882im	-0.2019209648866123 - 0.0006695981181215883im	0.009627818953072584 - 0.028319928967267444im
1.4181269256931798e-6 + 0.0im	-0.19229300890661336 - 0.028989526425501833im	-0.2019206981652666 - 0.000669603911783583im	-0.20192069816526667 - 0.0006696039117835825im	0.009627684169242225 - 0.028319922513811283im
1.4323081949501115e-6 + 0.0im	-0.1922928775112719 - 0.02898952574318939im	-0.20192043229033166 - 0.0006696097978473774im	-0.20192043229033166 - 0.0006696097978473775im	0.009627549663198127 - 0.028319915945435047im
1.4466312768996125e-6 + 0.0im	-0.19229274667437735 - 0.028989525036739724im	-0.2019201672292865 - 0.0006696157789472781im	-0.2019201672292865 - 0.000669615778947278im	0.009627415414331864 - 0.02831990925788541im
1.4610975896686088e-6 + 0.0im	-0.19229261638884054 - 0.028989524304996205im	-0.20191990295074427 - 0.0006696218572017925im	-0.20191990295074427 - 0.0006696218572017922im	0.009627281397094985 - 0.02831990244788738im
1.475708565565295e-6 + 0.0im	-0.19229248664671414 - 0.028989523547261732im	-0.20191963942453925 - 0.0006696280342089768im	-0.20191963942453925 - 0.0006696280342089764im	0.009627147589562995 - 0.02831989551314568im
1.4904656512209479e-6 + 0.0im	-0.19229235744101134 - 0.028989522763292325im	-0.2019193766217644 - 0.0006696343110461356im	-0.20191937662176437 - 0.0006696343110461356im	0.009627013969619541 - 0.028319888452339025im
1.5053703077331574e-6 + 0.0im	-0.19229222876530677 - 0.028989521953287627im	-0.2019191145138999 - 0.0006696406882738338im	-0.2019191145138999 - 0.0006696406882738333im	0.009626880515660614 - 0.028319881265106556im
1.520424010810489e-6 + 0.0im	-0.19229210061370303 - 0.028989521117878593im	-0.20191885307458587 - 0.0006696471659441611im	-0.20191885307458587 - 0.0006696471659441608im	0.009626747206560229 - 0.028319873952027164im
1.5356282509185938e-6 + 0.0im	-0.19229197298011164 - 0.028989520258112276im	-0.20191859227796508 - 0.0006696537436131312im	-0.20191859227796508 - 0.0006696537436131311im	0.009626614023174603 - 0.028319866514591823im
1.5509845334277798e-6 + 0.0im	-0.19229184586032608 - 0.0289895193754335im	-0.20191833209880886 - 0.0006696604203570834im	-0.20191833209880886 - 0.0006696604203570835im	0.009626480943619798 - 0.028319858955169034im
1.5664943787620576e-6 + 0.0im	-0.19229171924874686 - 0.028989518471664585im	-0.2019180725136928 - 0.0006696671947929179im	-0.2019180725136928 - 0.0006696671947929185im	0.009626347950505747 - 0.02831985127696423im
1.5821593225496783e-6 + 0.0im	-0.1922915931407927 - 0.028989517548982196im	-0.20191781349933893 - 0.0006696740651019573im	-0.20191781349933893 - 0.000669674065101957im	0.009626215025473252 - 0.02831984348397272im
1.5979809157751752e-6 + 0.0im	-0.19229146753195547 - 0.028989516609892567im	-0.20191755503469386 - 0.0006696810290572057im	-0.20191755503469386 - 0.0006696810290572056im	0.009626082151235813 - 0.02831983558092778im
1.613960724932927e-6 + 0.0im	-0.1922913424179214 - 0.028989515657204368im	-0.20191729709884002 - 0.0006696880840537522im	-0.20191729709884002 - 0.0006696880840537522im	0.009625949311255835 - 0.028319827573242914im
1.6301003321822563e-6 + 0.0im	-0.19229121779352934 - 0.028989514694000285im	-0.201917039671277 - 0.0006696952271420351im	-0.20191703967127703 - 0.0006696952271420355im	0.009625816491865178 - 0.02831981946695051im
1.646401335504079e-6 + 0.0im	-0.19229109365611552 - 0.028989513723607013im	-0.20191678273447566 - 0.0006697024550636695im	-0.20191678273447566 - 0.0006697024550636697im	0.009625683675235404 - 0.02831981126863552im
1.6628653488591198e-6 + 0.0im	-0.1922909700003185 - 0.028989512749563996im	-0.20191652627050732 - 0.0006697097642895101im	-0.20191652627050732 - 0.0006697097642895103im	0.009625550850175088 - 0.02831980298536655im
1.679494002347711e-6 + 0.0im	-0.19229084682207037 - 0.028989511775591413im	-0.2019162702606983 - 0.0006697171510596262im	-0.2019162702606983 - 0.000669717151059626im	0.009625418003756178 - 0.028319794624623706im
1.6962889423711881e-6 + 0.0im	-0.19229072411712794 - 0.028989510805557322im	-0.20191601469218845 - 0.000669724611424825im	-0.20191601469218845 - 0.0006697246114248252im	0.009625285124331905 - 0.028319786194224365im
1.7132518317949e-6 + 0.0im	-0.19229060187975375 - 0.028989509843444682im	-0.20191575954892174 - 0.0006697321412893805im	-0.20191575954892174 - 0.0006697321412893804im	0.009625152204546282 - 0.028319777702247046im
1.730384350112849e-6 + 0.0im	-0.19229048010863414 - 0.0289895088933177im	-0.2019155048160456 - 0.0006697397364545896im	-0.20191550481604556 - 0.0006697397364545896im	0.009625019227757109 - 0.02831976915695474im
1.7476881936139776e-6 + 0.0im	-0.19229035879657078 - 0.02898950795928864im	-0.20191525048221814 - 0.0006697473926627968im	-0.20191525048221814 - 0.0006697473926627966im	0.009624886191587214 - 0.028319760566717395im
1.7651650755501175e-6 + 0.0im	-0.19229023793951425 - 0.028989507045484957im	-0.20191499653572464 - 0.0006697551056415056im	-0.20191499653572467 - 0.0006697551056415054im	0.009624753087219362 - 0.028319751939934818im
1.7828167263056186e-6 + 0.0im	-0.1922901175317567 - 0.028989506156016673im	-0.2019147429621995 - 0.0006697628711472307im	-0.2019147429621995 - 0.0006697628711472309im	0.009624619910369845 - 0.02831974328496074im
1.8006448935686747e-6 + 0.0im	-0.1922899975714293 - 0.02898950529494481im	-0.20191448975481233 - 0.0006697706850087008im	-0.20191448975481235 - 0.0006697706850087009im	0.009624486648649897 - 0.02831973461002729im
1.8186513425043615e-6 + 0.0im	-0.19228987805017442 - 0.028989504466250673im	-0.20191423690271673 - 0.0006697785431690886im	-0.20191423690271673 - 0.0006697785431690889im	0.009624353305227982 - 0.02831972592317262im
1.8368378559294051e-6 + 0.0im	-0.19228975896390693 - 0.028989503673806285im	-0.20191398439765254 - 0.0006697864417269037im	-0.20191398439765254 - 0.0006697864417269038im	0.00962421987411578 - 0.0283197172321703im
