w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
-0.07881039719527509 + 0.0im	-0.12967528914070822 - 0.055481699849491264im	-0.19878609621614798 + 0.06016100566812588im	-0.19878609621614798 + 0.060161005668125885im	0.06911081447452913 - 0.11564270551766243im
-0.07803009623294563 + 0.0im	-0.1298929478561162 - 0.05494842949202759im	-0.19923005270785768 + 0.059219854002870914im	-0.19923005270785768 + 0.0592198540028709im	0.06933711793045595 - 0.11416828349494311im
-0.07725752102271845 + 0.0im	-0.13011996750565566 - 0.05441978186747422im	-0.19965471279174843 + 0.05828579851909387im	-0.19965471279174843 + 0.05828579851909384im	0.0695347405657771 - 0.11270558038661191im
-0.07649259507199846 + 0.0im	-0.13035613797940424 - 0.053895969986505046im	-0.20006049348423438 + 0.05735919204790457im	-0.20006049348423444 + 0.05735919204790456im	0.06970436593569826 - 0.11125516203445286im
-0.07573524264554303 + 0.0im	-0.13060114697503253 - 0.053377195131077804im	-0.2004478160633936 + 0.05644036884076548im	-0.20044781606339346 + 0.05644036884076551im	0.06984669338258162 - 0.10981756397188584im
-0.0749853887579634 + 0.0im	-0.1308546980111134 - 0.05286364695269184im	-0.20081711051461446 + 0.05552964470563024im	-0.20081711051461434 + 0.05552964470563023im	0.0699623615809138 - 0.10839329165836399im
-0.0742429591663004 + 0.0im	-0.13111657859573858 - 0.05235550358988948im	-0.20116878581632416 + 0.0546273171743142im	-0.20116878581632408 + 0.05462731717431422im	0.07005217652715089 - 0.1069828207642449im
-0.07350788036267367 + 0.0im	-0.13138647850990137 - 0.051852931804041824im	-0.20150329175403583 + 0.05373366569959064im	-0.20150329175403583 + 0.05373366569959063im	0.0701168486335172 - 0.10558659750367293im
-0.07278007956700364 + 0.0im	-0.131664116209594 - 0.051356087132441705im	-0.20182110834489664 + 0.05284895188047173im	-0.2018211083448967 + 0.05284895188047175im	0.07015698362062249 - 0.10420503901295301im
-0.07205948471980558 + 0.0im	-0.1319492455964847 - 0.05086511405770923im	-0.20212260341277402 + 0.05197341971410632im	-0.20212260341277408 + 0.051973419714106316im	0.07017335503136696 - 0.10283853377185442im
-0.07134602447505503 + 0.0im	-0.13224154827804205 - 0.05038014619250587im	-0.20240822680848614 + 0.051107295872708375im	-0.2024082268084862 + 0.05110729587270836im	0.07016666899349815 - 0.10148744206525245im
-0.07063962819312379 + 0.0im	-0.13254078865869312 - 0.049901306478543364im	-0.20267842609323658 + 0.050250790003912235im	-0.20267842609323655 + 0.050250790003912235im	0.07013763591270064 - 0.10015209648249287im
-0.06994022593378593 + 0.0im	-0.13284666303096676 - 0.04942870739887155im	-0.20293363124575375 + 0.049404095052942895im	-0.20293363124575375 + 0.04940409505294291im	0.07008696413608548 - 0.09883280245185119im
-0.069247748449293 + 0.0im	-0.13315891122311382 - 0.04896245120242784im	-0.20317427557202378 + 0.048567387604991116im	-0.20317427557202378 + 0.048567387604991116im	0.07001535876034538 - 0.09752983880745472im
-0.06856212717751782 + 0.0im	-0.13347725979338557 - 0.04850263013983262im	-0.20340078645144602 + 0.04774082824617747im	-0.203400786451446 + 0.04774082824617749im	0.06992352411660921 - 0.09624345838604512im
-0.06788329423516616 + 0.0im	-0.133801439704064 - 0.048049326709425765im	-0.2036135800832961 + 0.046924561941508194im	-0.2036135800832961 + 0.046924561941508194im	0.0698121560066162 - 0.09497388865096822im
-0.0672111824110556 + 0.0im	-0.13413118415483502 - 0.047602613912543036im	-0.20381312880703922 + 0.04611871842822925im	-0.20381312880703917 + 0.046118718428229254im	0.06968194914389252 - 0.09372133234080558im
-0.06654572515946099 + 0.0im	-0.13446623107687394 - 0.04716255551704857im	-0.20399981535615969 + 0.04532341262300981im	-0.20399981535615966 + 0.04532341262300981im	0.06953358153916148 - 0.09248596814009084im
-0.06588685659352572 + 0.0im	-0.13480631906034085 - 0.04672920632815235im	-0.20417405700600316 + 0.044538745041406855im	-0.20417405700600322 + 0.044538745041406855im	0.0693677413954931 - 0.0912679513695908im
-0.06523451147873834 + 0.0im	-0.13515117645702068 - 0.04630261246556062im	-0.2043362735307641 + 0.0437648022280889im	-0.20433627353076417 + 0.043764802228088914im	0.06918508900532046 - 0.09006741469368025im
-0.0645886252264736 + 0.0im	-0.1355005717868153 - 0.04588281164602711im	-0.2044868727834986 + 0.04300165719632987im	-0.2044868727834987 + 0.043001657196329875im	0.06898629635416358 - 0.08888446884238684im
-0.06394913388759763 + 0.0im	-0.1358542433491929 - 0.04546983347039642im	-0.20462625748035507 + 0.042249369875317244im	-0.20462625748035504 + 0.04224936987531724im	0.06877201254721924 - 0.08771920334574257im
-0.06331597414613627 + 0.0im	-0.13621194276151452 - 0.04506369971425528im	-0.20475482455283994 + 0.04150798756385916im	-0.2047548245528399 + 0.04150798756385914im	0.06854288172246643 - 0.08657168727814248im
-0.06268908331300621 + 0.0im	-0.13657342973657322 - 0.0446644246213346im	-0.20487296487864703 + 0.04077754538911401im	-0.204872964878647 + 0.04077754538911404im	0.06829953247251262 - 0.08544197001047574im
-0.06206839931980813 + 0.0im	-0.13693845936750806 - 0.04427201519883367im	-0.20498106594432874 + 0.040058066769013224im	-0.20498106594432874 + 0.04005806676901321im	0.06804259671569665 - 0.08433008196787309im
