w	A_d_u-A_d_u	A_d_d-A_d_u	A_d_u-A_d_d	A_d_d-A_d_d
-0.002327111526290166 + 0.0im	-0.7765853533618118 - 1.0781730832286236im	-5.750047832947418 + 0.8081013742942943im	-5.750047832947418 + 0.8081013742942942im	4.973462527348072 - 1.8862744575228303im
-0.0023040708181090754 + 0.0im	-0.7785184081993243 - 1.077852044181179im	-5.749168905230076 + 0.8069867718111642im	-5.749168905230072 + 0.8069867718111643im	4.970650539725105 - 1.8848388159922556im
-0.0022812582357515598 + 0.0im	-0.780432073911528 - 1.0775364619769567im	-5.748302598269592 + 0.8058856739652198im	-5.748302598269588 + 0.8058856739652202im	4.967870567109824 - 1.8834221359420875im
-0.0022586715205460987 + 0.0im	-0.7823265623383585 - 1.0772262257042544im	-5.747448704903942 + 0.8047978740515019im	-5.747448704903942 + 0.8047978740515019im	4.965122185374151 - 1.8820240997556679im
-0.002236308436184256 + 0.0im	-0.7842020794521419 - 1.0769212272170465im	-5.746607021714394 + 0.8037231697898748im	-5.746607021714394 + 0.8037231697898745im	4.9624049850268435 - 1.880644397006833im
-0.0022141667684992634 + 0.0im	-0.7860588619272372 - 1.0766213610466489im	-5.745777347123154 + 0.8026613631884413im	-5.745777347123154 + 0.8026613631884416im	4.959718575562862 - 1.8792827242350012im
-0.0021922443252467955 + 0.0im	-0.7878970422723345 - 1.0763265243166569im	-5.744959494625498 + 0.801612260412503im	-5.744959494625498 + 0.801612260412503im	4.957062536687749 - 1.8779387847290736im
-0.0021705389358879163 + 0.0im	-0.7897168186626735 - 1.0760366166609892im	-5.744153260236326 + 0.8005756716587901im	-5.744153260236326 + 0.80057567165879im	4.954436484503522 - 1.8766122883196916im
-0.0021490484513741743 + 0.0im	-0.7915184554527543 - 1.0757515401448832im	-5.743358460454019 + 0.7995514110346931im	-5.743358460454019 + 0.7995514110346931im	4.951840047985073 - 1.8753029511794903im
-0.0021277707439348263 + 0.0im	-0.7933021105157958 - 1.0754711991887318im	-5.742574910506409 + 0.7985392964422444im	-5.742574910506409 + 0.7985392964422443im	4.9492728431278215 - 1.8740104956308872im
-0.0021067037068661647 + 0.0im	-0.7950679743493321 - 1.0751955004945966im	-5.741802429117948 + 0.797539149466612im	-5.741802429117948 + 0.797539149466612im	4.946734497877277 - 1.8727346499611206im
-0.0020858452543229353 + 0.0im	-0.7968162336161676 - 1.074924352975318im	-5.741040839830241 + 0.7965507952688643im	-5.741040839830241 + 0.7965507952688645im	4.944224649474086 - 1.871475148244095im
-0.002065193321111817 + 0.0im	-0.7985470761728901 - 1.074657667686083im	-5.7402899647677454 + 0.795574062482806im	-5.7402899647677454 + 0.7955740624828063im	4.9417429318048 - 1.8702317301687985im
-0.0020447458624869475 + 0.0im	-0.8002606838963325 - 1.0743953577583565im	-5.739549634356202 + 0.7946087831156736im	-5.739549634356202 + 0.7946087831156738im	4.9392889937196545 - 1.8690041408739395im
-0.002024500853947473 + 0.0im	-0.8019572376042685 - 1.0741373383360953im	-5.738819680472253 + 0.793654792452498im	-5.738819680472257 + 0.793654792452498im	4.936862486177098 - 1.8677921307885035im
-0.002004456291037102 + 0.0im	-0.8036369147764946 - 1.0738835265141435im	-5.738099940151553 + 0.7927119289639745im	-5.738099940151553 + 0.792711928963974im	4.9344630682840265 - 1.8665954554780277im
-0.0019846101891456453 + 0.0im	-0.8052998937202198 - 1.0736338412787334im	-5.737390246928303 + 0.7917800342176462im	-5.737390246928303 + 0.7917800342176459im	4.932090396614338 - 1.8654138754962877im
-0.0019649605833125202 + 0.0im	-0.8069463801705037 - 1.07338820345003im	-5.736690443433042 + 0.7908589527922653im	-5.736690443433044 + 0.7908589527922657im	4.929744137118503 - 1.864247156242206im
-0.0019455055280321982 + 0.0im	-0.808576477782335 - 1.0731465356266425im	-5.736000376543692 + 0.7899485321951949im	-5.736000376543688 + 0.7899485321951951im	4.927423970076714 - 1.8630950678217484im
-0.0019262430970615823 + 0.0im	-0.810190365818268 - 1.0729087621320526im	-5.735319888375863 + 0.7890486227826858im	-5.735319888375863 + 0.7890486227826861im	4.925129566462956 - 1.8619573849146485im
-0.0019071713832292895 + 0.0im	-0.8117882670385738 - 1.07267480896289im	-5.734648835892244 + 0.7881590776829487im	-5.734648835892248 + 0.7881590776829488im	4.922860612446888 - 1.860833886645749im
-0.0018882884982468213 + 0.0im	-0.8133703477661118 - 1.0724446037390347im	-5.733987064361424 + 0.7872797527218738im	-5.733987064361424 + 0.7872797527218738im	4.920616787648796 - 1.8597243564608166im
-0.0018695925725216052 + 0.0im	-0.8149367126629451 - 1.0722180756554727im	-5.733334431752838 + 0.7864105063513144im	-5.733334431752838 + 0.7864105063513147im	4.918397789353533 - 1.8586285820066955im
-0.0018510817549718863 + 0.0im	-0.8164875234896908 - 1.0719951554358869im	-5.732690790284958 + 0.7855511995798322im	-5.732690790284958 + 0.7855511995798322im	4.916203313076512 - 1.8575463550156275im
-0.0018327542128434519 + 0.0im	-0.8180229985767712 - 1.0717757752879264im	-5.732056013620945 + 0.7847016959058145im	-5.732056013620945 + 0.7847016959058144im	4.91403305901428 - 1.8564774711936496im
-0.0018146081315281702 + 0.0im	-0.8195432957259468 - 1.071559868860145im	-5.731429951637027 + 0.7838618612528897im	-5.731429951637027 + 0.7838618612528898im	4.911886727609548 - 1.8554217301129423im
-0.001796641714384327 + 0.0im	-0.8210484820102347 - 1.0713473712005566im	-5.730812476400372 + 0.7830315639075668im	-5.730812476400368 + 0.783031563907567im	4.90976403845005 - 1.8543789351080313im
-0.0017788531825587396 + 0.0im	-0.8225388013476888 - 1.0711382187167944im	-5.730203451169452 + 0.78221067445903im	-5.730203451169452 + 0.7822106744590303im	4.907664693925909 - 1.8533488931757296im
-0.0017612407748106333 + 0.0im	-0.8240143767240303 - 1.0709323491378318im	-5.7296027483088015 + 0.7813990657410307im	-5.7296027483088015 + 0.7813990657410308im	4.9055884124085685 - 1.8523314148787686im
-0.0017438027473372607 + 0.0im	-0.8254753915637869 - 1.0707297014772625im	-5.729010238434342 + 0.7805966127758274im	-5.729010238434342 + 0.7805966127758271im	4.903534922910211 - 1.8513263142529972im
-0.0017265373736012482 + 0.0im	-0.8269218903092129 - 1.070530215998087im	-5.728425797639809 + 0.7798031927201038im	-5.728425797639809 + 0.7798031927201039im	4.901503951252447 - 1.8503334087180976im
-0.0017094429441596518 + 0.0im	-0.8283541258607918 - 1.0703338341789945im	-5.727849302513088 + 0.7790186848128455im	-5.727849302513088 + 0.7790186848128454im	4.899495217466923 - 1.849352518991746im
-0.0016925177664947047 + 0.0im	-0.8297722085108751 - 1.0701404986821297im	-5.727280631542151 + 0.7782429703251124im	-5.727280631542151 + 0.7782429703251124im	4.897508466814027 - 1.8483834690071483im
-0.0016757601648462422 + 0.0im	-0.8311763111819286 - 1.0699501533222917im	-5.726719664728159 + 0.7774759325116712im	-5.726719664728155 + 0.7774759325116711im	4.895543427301214 - 1.8474260858338676im
-0.0016591684800457843 + 0.0im	-0.8325664877200966 - 1.0697627430375587im	-5.726166283994447 + 0.7767174565644491im	-5.726166283994447 + 0.7767174565644492im	4.893599840852916 - 1.8464801996019151im
-0.0016427410693522616 + 0.0im	-0.8339430015568569 - 1.0695782138612988im	-5.725620381800176 + 0.7759674295677847im	-5.725620381800176 + 0.775967429567785im	4.891677457226456 - 1.8455456434289872im
-0.001626476306289368 + 0.0im	-0.8353058862136203 - 1.0693965128955534im	-5.725081836011642 + 0.7752257404554177im	-5.725081836011642 + 0.7752257404554178im	4.8897760240264345 - 1.8446222533508754im
-0.0016103725804845228 + 0.0im	-0.8366552985260297 - 1.0692175882857506im	-5.724550540182946 + 0.7744922799692002im	-5.724550540182946 + 0.7744922799692003im	4.887895283707674 - 1.8437098682548534im
-0.0015944282975094285 + 0.0im	-0.8379914242720333 - 1.0690413891967145im	-5.724026383444249 + 0.7737669406194886im	-5.724026383444249 + 0.7737669406194887im	4.88603500331654 - 1.8428083298161066im
-0.0015786418787222065 + 0.0im	-0.8393144064448396 - 1.0688678657899562im	-5.723509258754823 + 0.7730496166471915im	-5.723509258754823 + 0.7730496166471916im	4.884194928448645 - 1.8419174824370523im
-0.0015630117611110956 + 0.0im	-0.8406243005068668 - 1.0686969692021826im	-5.722999059041601 + 0.7723402039874121im	-5.722999059041601 + 0.772340203987412im	4.882374830522528 - 1.8410371731894986im
-0.0015475363971396987 + 0.0im	-0.8419212559108479 - 1.0685286515249968im	-5.722495682360458 + 0.7716386002346804im	-5.722495682360458 + 0.7716386002346806im	4.880574471219986 - 1.8401672517595808im
-0.001532214254593761 + 0.0im	-0.8432054557211399 - 1.068362865785763im	-5.72199902677148 + 0.7709447046097171im	-5.72199902677148 + 0.770944704609717im	4.87879361539314 - 1.839307570395381im
-0.0015170438164294664 + 0.0im	-0.8444769993541894 - 1.0681995659295602im	-5.721508990629097 + 0.7702584179276896im	-5.721508990629097 + 0.7702584179276896im	4.87703203565559 - 1.8384579838571506im
-0.001502023580623234 + 0.0im	-0.8457360145801777 - 1.068038706802211im	-5.721025475156102 + 0.7695796425679359im	-5.721025475156102 + 0.7695796425679363im	4.875289505000609 - 1.8376183493700475im
-0.001487152060023004 + 0.0im	-0.8469826275972182 - 1.0678802441343154im	-5.72054838307411 + 0.7689082824450832im	-5.7205483830741075 + 0.7689082824450832im	4.873565799938762 - 1.8367885265792987im
-0.001472427782200994 + 0.0im	-0.8482169632782025 - 1.0677241345262396im	-5.720077618675544 + 0.7682442429815469im	-5.720077618675544 + 0.7682442429815469im	4.8718606998960325 - 1.8359683775076834im
-0.0014578492893079149 + 0.0im	-0.8494391456720998 - 1.0675703354340174im	-5.719613087232303 + 0.7675874310813313im	-5.719613087232303 + 0.7675874310813313im	4.870173986095347 - 1.8351577665152468im
-0.0014434151379286286 + 0.0im	-0.8506492965198893 - 1.0674188051561049im	-5.719154696786457 + 0.7669377551051078im	-5.71915469678646 + 0.7669377551051075im	4.868505444837827 - 1.8343565602611096im
-0.0014291238989392362 + 0.0im	-0.8518475374017681 - 1.0672695028209118im	-5.7187023555297865 + 0.7662951248464899im	-5.7187023555297865 + 0.7662951248464897im	4.866854862735025 - 1.8335646276672988im
-0.0014149741573655805 + 0.0im	-0.853033988213279 - 1.0671223883750858im	-5.718255973649194 + 0.7656594515094707im	-5.718255973649194 + 0.7656594515094707im	4.865222030078329 - 1.8327818398844538im
-0.001400964512243149 + 0.0im	-0.8542087677005187 - 1.0669774225724478im	-5.717815462667326 + 0.7650306476869471im	-5.717815462667326 + 0.7650306476869472im	4.86360673964427 - 1.8320080702592922im
-0.0013870935764783653 + 0.0im	-0.8553719934063984 - 1.066834566963546im	-5.717380735500246 + 0.7644086273402761im	-5.717380735500246 + 0.7644086273402761im	4.8620087866019945 - 1.8312431943037173im
-0.0013733599767112527 + 0.0im	-0.856523782492687 - 1.0666937838857502im	-5.716951706314747 + 0.7637933057797988im	-5.716951706314751 + 0.7637933057797986im	4.860427967702315 - 1.8304870896654442im
-0.0013597623531794582 + 0.0im	-0.8576642780715846 - 1.0665550364538212im	-5.71652831508222 + 0.7631845996462614im	-5.71652831508222 + 0.7631845996462615im	4.858864085579846 - 1.829739636099979im
-0.001346299359583622 + 0.0im	-0.8587935078471001 - 1.0664182885509im	-5.716110403490098 + 0.7625824268930615im	-5.716110403490098 + 0.7625824268930615im	4.857316941583145 - 1.829000715443858im
-0.0013329696629540812 + 0.0im	-0.8599116714100873 - 1.0662835048198354im	-5.715697966309598 + 0.7619867067692635im	-5.715697966309598 + 0.7619867067692635im	4.855786339747141 - 1.8282702115889917im
-0.0013197719435188923 + 0.0im	-0.8610188521412173 - 1.0661506506547989im	-5.715290896543589 + 0.7613973598032847im	-5.715290896543589 + 0.7613973598032849im	4.854272089283049 - 1.8275480104579727im
-0.0013067048945731607 + 0.0im	-0.8621151607724132 - 1.0660196921931078im	-5.714889114793141 + 0.7608143077872075im	-5.714889114793141 + 0.7608143077872076im	4.852773998934121 - 1.826833999980208im
-0.001293767222349664 + 0.0im	-0.8632007070248356 - 1.0658905963072196im	-5.7144925427577276 + 0.7602374737616209im	-5.7144925427577276 + 0.7602374737616209im	4.851291880678676 - 1.8261280700687315im
-0.0012809576458907563 + 0.0im	-0.8642755996185969 - 1.0657633305967862im	-5.714101103216372 + 0.7596667820009205im	-5.714101103216372 + 0.7596667820009204im	4.849825548575624 - 1.825430112597596im
-0.001268274896921541 + 0.0im	-0.8653399747611029 - 1.065637863380765im	-5.713714718522332 + 0.7591021579989999im	-5.713714718522332 + 0.7591021579989999im	4.848374819158394 - 1.8247400213796554im
-0.001255717719724298 + 0.0im	-0.8663938843084753 - 1.0655141636894754im	-5.71333332019039 + 0.758543528455249im	-5.71333332019039 + 0.7585435284552488im	4.846939511391223 - 1.824057692144615im
-0.0012432848710141563 + 0.0im	-0.8674374241158972 - 1.0653922012565746im	-5.7129568277448906 + 0.7579908212607863im	-5.7129568277448906 + 0.7579908212607862im	4.8455194576135305 - 1.8233830225172485im
-0.0012309751198159964 + 0.0im	-0.8684707667184496 - 1.0652719465108997im	-5.7125851704510895 + 0.7574439654848485im	-5.7125851704510895 + 0.7574439654848486im	4.844114447583409 - 1.8227159119956353im
-0.0012187872473425707 + 0.0im	-0.8694939828577601 - 1.065153370568093im	-5.712218277210955 + 0.7569028913612752im	-5.712218277210955 + 0.7569028913612754im	4.842724339486787 - 1.8220562619292575im
-0.0012067200468738324 + 0.0im	-0.8705071749047378 - 1.0650364452220027im	-5.711856077558295 + 0.7563675302749996im	-5.711856077558295 + 0.756367530275im	4.841348947817374 - 1.8214039754968923im
-0.0011947723236374577 + 0.0im	-0.8715104442040436 - 1.064921142935782im	-5.71149850209083 + 0.755837814748492im	-5.71149850209083 + 0.7558378147484919im	4.839988102988807 - 1.8207589576841579im
-0.0011829428946905523 + 0.0im	-0.8725038909992988 - 1.0648074368326668im	-5.7111454825799965 + 0.7553136784280831im	-5.7111454825799965 + 0.7553136784280834im	4.838641636804066 - 1.8201211152606362im
-0.001171230588802527 + 0.0im	-0.8734876138589429 - 1.064695300686379im	-5.710796952548071 + 0.7547950560701034im	-5.710796952548071 + 0.7547950560701037im	4.837309381758736 - 1.819490356756369im
-0.0011596342463391356 + 0.0im	-0.8744617125394424 - 1.0645847089111413im	-5.710452843996793 + 0.7542818835267822im	-5.710452843996793 + 0.7542818835267823im	4.835991176739154 - 1.8188665924378076im
-0.001148152719147659 + 0.0im	-0.8754262832557823 - 1.0644756365512529im	-5.71011309295521 + 0.7537740977318451im	-5.71011309295521 + 0.7537740977318451im	4.834686855009997 - 1.8182497342829826im
-0.0011367848704432267 + 0.0im	-0.8763814223509677 - 1.0643680592702223im	-5.70977763510052 + 0.7532716366857647im	-5.70977763510052 + 0.7532716366857647im	4.8333962580886025 - 1.817639695955871im
-0.001125529574696264 + 0.0im	-0.8773272250366962 - 1.0642619533394306im	-5.70944640727276 + 0.7527744394406101im	-5.70944640727276 + 0.7527744394406105im	4.832119227603313 - 1.8170363927799233im
-0.0011143857175210535 + 0.0im	-0.8782637855153334 - 1.0641572956263063im	-5.709119347322536 + 0.7522824460844608im	-5.709119347322536 + 0.7522824460844608im	4.830855607202369 - 1.8164397417106495im
-0.0011033521955653995 + 0.0im	-0.879191196792331 - 1.0640540635820168im	-5.708796394350232 + 0.7517955977253344im	-5.708796394350232 + 0.7517955977253344im	4.829605242980724 - 1.8158496613072346im
-0.0010924279164013857 + 0.0im	-0.8801095511800558 - 1.063952235228664im	-5.708477487990775 + 0.7513138364746184im	-5.708477487990775 + 0.7513138364746182im	4.828367982260931 - 1.815266071703165im
-0.0010816117984172135 + 0.0im	-0.8810189399478061 - 1.063851789145979im	-5.708162569070829 + 0.7508371054299503im	-5.708162569070829 + 0.7508371054299503im	4.827143674600336 - 1.8146888945758097im
-0.0010709027707101124 + 0.0im	-0.8819194530821628 - 1.0637527044575397im	-5.707851579631643 + 0.7503653486575557im	-5.707851579631643 + 0.7503653486575559im	4.825932172053622 - 1.8141180531149759im
-0.0010602997729803093 + 0.0im	-0.8828111797516877 - 1.0636549608165153im	-5.707544462513195 + 0.7498985111740052im	-5.707544462513195 + 0.7498985111740052im	4.824733328292216 - 1.8135534719903992im
-0.001049801755426049 + 0.0im	-0.8836942080777351 - 1.0635585383909396im	-5.707241161587828 + 0.7494365389273945im	-5.707241161587832 + 0.7494365389273946im	4.823546999067113 - 1.8129950773182135im
-0.0010394076786396523 + 0.0im	-0.8845686256065642 - 1.063463417848568im	-5.706941621320383 + 0.7489793787779453im	-5.706941621320383 + 0.7489793787779454im	4.82237304129686 - 1.8124427966263914im
-0.0010291165135046063 + 0.0im	-0.8854345176821767 - 1.0633695803412988im	-5.706645803441257 + 0.7485269784780221im	-5.706645803441257 + 0.7485269784780221im	4.821211316188481 - 1.8118965588191995im
-0.0010189272410936695 + 0.0im	-0.8862919700691086 - 1.0632770074892428im	-5.706353623809637 + 0.7480792866515855im	-5.706353623809637 + 0.7480792866515855im	4.820061684201654 - 1.8113562941407046im
-0.0010088388525679897 + 0.0im	-0.8871410668095575 - 1.063185681364413im	-5.706065045473455 + 0.7476362527730898im	-5.706065045473455 + 0.7476362527730898im	4.818924009156394 - 1.810821934137379im
-0.0009988503490772176 + 0.0im	-0.8879818912362155 - 1.0630955844741439im	-5.705780017090954 + 0.7471978271458479im	-5.705780017090954 + 0.7471978271458478im	4.817798156378277 - 1.810293411619867im
-0.0009889607416606115 + 0.0im	-0.8888145252413356 - 1.0630066997442127im	-5.705498488445632 + 0.7467639608798983im	-5.705498488445632 + 0.7467639608798979im	4.816683993758517 - 1.8097706606239872im
-0.0009791690511491203 + 0.0im	-0.8896390503573808 - 1.062919010501753im	-5.7052204100742685 + 0.7463346058693971im	-5.7052204100742685 + 0.7463346058693973im	4.815581390301478 - 1.809253616371027im
-0.0009694743080684359 + 0.0im	-0.8904555466887429 - 1.0628325004580044im	-5.704945733529677 + 0.7459097147695826im	-5.704945733529677 + 0.7459097147695828im	4.814490217455538 - 1.8087422152274621im
-0.0009598755525430058 + 0.0im	-0.8912640936377599 - 1.0627471536909174im	-5.704674411368716 + 0.7454892409733491im	-5.704674411368716 + 0.7454892409733489im	4.813410348375262 - 1.8082363946641427im
-0.0009503718342009958 + 0.0im	-0.8920647695426173 - 1.0626629546277162im	-5.704406396948989 + 0.7450731385874843im	-5.704406396948989 + 0.7450731385874843im	4.812341658080043 - 1.807736093215076im
-0.0009409622120801938 + 0.0im	-0.8928576517865263 - 1.0625798880274229im	-5.704141644852541 + 0.7446613624086281im	-5.704141644852541 + 0.7446613624086285im	4.811284023768768 - 1.8072412504359214im
-0.0009316457545348453 + 0.0im	-0.8936428168699976 - 1.0624979389634301im	-5.703880109984539 + 0.7442538678989935im	-5.703880109984539 + 0.7442538678989935im	4.8102373238460086 - 1.806751806862298im
-0.0009224215391434112 + 0.0im	-0.8944203403054087 - 1.0624170928061953im	-5.703621748816715 + 0.7438506111619294im	-5.703621748816715 + 0.7438506111619296im	4.809201439271201 - 1.8062677039679997im
-0.0009132886526172388 + 0.0im	-0.8951902965989921 - 1.0623373352060481im	-5.703366518938741 + 0.7434515489173835im	-5.703366518938741 + 0.7434515489173837im	4.808176252442423 - 1.8057888841233039im
-0.0009042461907101375 + 0.0im	-0.8959527597843031 - 1.0622586520762498im	-5.70311437670614 + 0.7430566384773267im	-5.70311437670614 + 0.7430566384773272im	4.807161647737647 - 1.8053152905534469im
-0.000895293258128849 + 0.0im	-0.8967078023372663 - 1.0621810295763081im	-5.702865282582959 + 0.742665837721224im	-5.702865282582959 + 0.742665837721224im	4.8061575110889985 - 1.8048468672974038im
-0.0008864289684444049 + 0.0im	-0.8974554962721527 - 1.0621044540956224im	-5.702619195795734 + 0.742279105071605im	-5.702619195795734 + 0.742279105071605im	4.805163730394097 - 1.8043835591670978im
