w	self_d_u-A_d_u	self_d_d-A_d_u	self_d_u-A_d_d	self_d_d-A_d_d
-0.5377849649835013 + 0.0im	-0.13053568687694772 + 0.034754580132457503im	-0.3464131038417981 - 0.06706874257127927im	-0.3464131038417981 - 0.0670687425712793im	0.21587741674670302 + 0.1018233227041086im
-0.5324603613698032 + 0.0im	-0.13059201468164106 + 0.03594631523808708im	-0.34960811706966743 - 0.06907887541253079im	-0.3496081170696671 - 0.06907887541253079im	0.21901609633098773 + 0.10502519065098448im
-0.5271884766037656 + 0.0im	-0.13064438569317982 + 0.03717342954365167im	-0.35281899737587874 - 0.071145028373083im	-0.3528189973758784 - 0.07114502837308295im	0.22217459475449983 + 0.10831845791709618im
-0.5219687887165996 + 0.0im	-0.1306932967599497 + 0.038436690428673925im	-0.35604491117209996 - 0.07326846285333798im	-0.35604491117209963 - 0.07326846285333798im	0.22535161164997417 + 0.11170515328236848im
-0.5168007809075243 + 0.0im	-0.1307392620715052 + 0.03973686704205035im	-0.3592850381734363 - 0.07545044613763185im	-0.359285038173436 - 0.07545044613763183im	0.22854577073853743 + 0.11518731318003365im
-0.5116839414925983 + 0.0im	-0.13078283697419288 + 0.0410747294019687im	-0.3625385520891506 - 0.0776922499725151im	-0.3625385520891506 - 0.0776922499725151im	0.2317556193708627 + 0.11876697937483044im
-0.5066177638540578 + 0.0im	-0.1308245885799165 + 0.04245104744845494im	-0.365804252926757 - 0.07999514906683468im	-0.36580425292675667 - 0.0799951490668346im	0.23497966451868604 + 0.12244619651563123im
-0.5016017463901562 + 0.0im	-0.13086523395752742 + 0.04386659004805253im	-0.36908134366764656 - 0.0823604195127649im	-0.36908134366764656 - 0.08236041951276485im	0.23821614346146375 + 0.12622700956115418im
-0.4966353924655012 + 0.0im	-0.13090524505596515 + 0.04532212395023256im	-0.3723687606760338 - 0.08478933712708733im	-0.3723687606760341 - 0.0847893371270873im	0.24146348987723926 + 0.13011146107765167im
-0.49171821036188235 + 0.0im	-0.13094542784237645 + 0.046818412695239im	-0.3756652696894929 - 0.08728317571217865im	-0.3756652696894929 - 0.08728317571217861im	0.2447198239915256 + 0.13410158840774453im
-0.4868497132295865 + 0.0im	-0.13098645382166654 + 0.04835621547318468im	-0.37897005015058793 - 0.08984320523634133im	-0.37897005015058793 - 0.08984320523634133im	0.2479837295178269 + 0.13819942070984828im
-0.48202941903919455 + 0.0im	-0.1310291095275871 + 0.04993628593433159im	-0.3822811599476401 - 0.09247068993329376im	-0.3822811599476401 - 0.09247068993329377im	0.25125203074936253 + 0.14240697586794268im
-0.47725685053385597 + 0.0im	-0.13107414103492968 + 0.05155937095061424im	-0.38559793416736826 - 0.09516688632083302im	-0.38559793416736826 - 0.09516688632083298im	0.2545237959132745 + 0.14672625727175995im
-0.4725315351820356 + 0.0im	-0.1311222414977632 + 0.05322620932859794im	-0.38891886990736046 - 0.09793304113888995im	-0.38891886990736046 - 0.09793304113888994im	0.25779649008243005 + 0.15115925046779566im
-0.4678530051307283 + 0.0im	-0.1311746859208964 + 0.054937530474201676im	-0.3922425479267137 - 0.10077038920741253im	-0.3922425479267137 - 0.1007703892074125im	0.26106785798891496 + 0.15570791968191752im
-0.46322079715913694 + 0.0im	-0.13123194800269294 + 0.05669405300966164im	-0.3955674890691167 - 0.10368015120474422im	-0.3955674890691167 - 0.10368015120474412im	0.2643355425307394 + 0.16037420421470436im
-0.45863445263280883 + 0.0im	-0.13129510067272293 + 0.05849648334336429im	-0.39889220175861817 - 0.10666353136740132im	-0.39889220175861817 - 0.10666353136740127im	0.26759709657239406 + 0.16516001471105957im
-0.45409351745822657 + 0.0im	-0.131365096106923 + 0.060345514193334844im	-0.40221505404120816 - 0.10972171511240551im	-0.4022150540412079 - 0.10972171511240551im	0.27084995189896865 + 0.17006722930602988im
-0.4495975420378481 + 0.0im	-0.13144295134100983 + 0.062241823065333546im	-0.40553442753544366 - 0.11285586658358698im	-0.40553442753544366 - 0.11285586658358687im	0.2740914805951857 + 0.17509768964920547im
-0.4451460812255921 + 0.0im	-0.13152970465577793 + 0.06418607068668222im	-0.40884860609946694 - 0.11606712612354228im	-0.40884860609946694 - 0.11606712612354238im	0.2773188852615489 + 0.18025319681050522im
-0.44073869428276446 + 0.0im	-0.13162643498188045 + 0.06617889939711939im	-0.4121558162008964 - 0.11935660767321721im	-0.41215581620089614 - 0.11935660767321721im	0.2805293659796728 + 0.18553550707061264im
-0.43637494483442024 + 0.0im	-0.13173425993061433 + 0.06822093149816552im	-0.415454217063879 - 0.12272539610136425im	-0.415454217063879 - 0.12272539610136411im	0.2837199472370454 + 0.19094632759980143im
-0.43205440082615865 + 0.0im	-0.13185435521302072 + 0.07031276756266404im	-0.41874191090358204 - 0.12617454446643123im	-0.41874191090358204 - 0.1261745444664312im	0.2868875661306945 + 0.19648731202936276im
-0.4277766344813452 + 0.0im	-0.13198787423977093 + 0.0724549847063578im	-0.4220169109848801 - 0.12970507121373798im	-0.42201691098488037 - 0.12970507121373795im	0.2900290659181624 + 0.20216005592035902im
-0.4235412222587576 + 0.0im	-0.13213606219467847 + 0.07464813482355277im	-0.4252772482469401 - 0.13331795731110935im	-0.42527724824694046 - 0.13331795731110935im	0.2931411644729403 + 0.20796609213492118im
-0.4193477448106511 + 0.0im	-0.13230020325904895 + 0.07689274278912267im	-0.4285207659698181 - 0.13701414332645726im	-0.4285207659698181 - 0.1370141433264572im	0.2962205488076823 + 0.2139068861158346im
-0.4151957869412387 + 0.0im	-0.13248159914014837 + 0.07918930462930576im	-0.4317453248756601 - 0.14079452645112356im	-0.4317453248756601 - 0.14079452645112345im	0.29926372421630526 + 0.21998383108068004im
-0.4110849375655829 + 0.0im	-0.13268159607338764 + 0.08153828566395402im	-0.4349487131719537 - 0.1446599574731268im	-0.4349487131719537 - 0.14465995747312665im	0.30226711506638937 + 0.22619824313732745im
-0.40701478966889393 + 0.0im	-0.13290159004730007 + 0.08394011862309508im	-0.43812864501412857 - 0.1486112377047895im	-0.43812864501412857 - 0.14861123770478946im	0.3052270642068656 + 0.23255135632812687im
-0.4029849402662316 + 0.0im	-0.13314297029078861 + 0.08639520174087977im	-0.4412827793839084 - 0.1526491158695578im	-0.4412827793839084 - 0.15264911586955773im	0.3081398163071074 + 0.23904431761067627im
-0.39899499036260555 + 0.0im	-0.13340720780349813 + 0.08890389683019177im	-0.4444086991747637 - 0.15677428495315926im	-0.4444086991747637 - 0.15677428495315926im	0.31100150819710254 + 0.2456781817835856im
-0.39504454491347085 + 0.0im	-0.13369572567017715 + 0.09146652734140226im	-0.4475039384805945 - 0.16098737902458637im	-0.44750393848059417 - 0.16098737902458635im	0.3138081642225052 + 0.2524539063662196im
-0.3911332127856147 + 0.0im	-0.1340102587744799 + 0.09408337640896133im	-0.4505659800374493 - 0.16528897003272675im	-0.450565980037449 - 0.16528897003272675im	0.316555745045393 + 0.25937234644191515im
-0.3872606067184304 + 0.0im	-0.13435215523792984 + 0.09675468488971849im	-0.4535922309793884 - 0.16967956458479275im	-0.4535922309793884 - 0.16967956458479255im	0.31924009813075566 + 0.2664342494747342im
-0.3834263432855746 + 0.0im	-0.13472308020942042 + 0.09948064939706756im	-0.45658006403700646 - 0.1741596007130382im	-0.45658006403700646 - 0.17415960071303815im	0.3218570065964143 + 0.2736402501103257im
-0.3796300428570046 + 0.0im	-0.13512466089812356 + 0.10226142033520538im	-0.45952675039887814 - 0.17872944463657237im	-0.45952675039887814 - 0.17872944463657228im	0.3244021049203684 + 0.28099086497199377im
-0.3758713295613907 + 0.0im	-0.1355585550463527 + 0.10509709993798926im	-0.4624295580964232 - 0.18338938752539477im	-0.4624295580964232 - 0.18338938752539466im	0.3268710313000783 + 0.28848648746359634im
-0.37214983124890166 + 0.0im	-0.13602643771739553 + 0.10798774031706211im	-0.4652856847671427 - 0.18813964227409438im	-0.4652856847671427 - 0.18813964227409427im	0.32925926891539525 + 0.29612738259136534im
-0.3684651794543581 + 0.0im	-0.13653004350863168 + 0.11093334152409581im	-0.4680922849184493 - 0.1929803402929455im	-0.4680922849184495 - 0.19298034029294542im	0.3315622575088857 + 0.303913681817247im
-0.36481700936075057 + 0.0im	-0.13707110469697975 + 0.1139338496321739im	-0.4708464231828914 - 0.1979115283244318im	-0.4708464231828914 - 0.19791152832443173im	0.33377533828786426 + 0.3118453779568078im
-0.3612049597631194 + 0.0im	-0.13765139127712328 + 0.11698915484149813im	-0.47354519000780043 - 0.2029331652934944im	-0.47354519000780043 - 0.20293316529349428im	0.335893812462548 + 0.31992232013519145im
-0.3576286730327915 + 0.0im	-0.1382726975028416 + 0.12009908961476255im	-0.47618557727516175 - 0.20804511920007204im	-0.4761855772751614 - 0.20804511920007193im	0.3379128967484229 + 0.3281442088150302im
-0.3540877950819718 + 0.0im	-0.13893683546298968 + 0.12326342684767021im	-0.4787645479728249 - 0.21324716406273486im	-0.47876454797282525 - 0.21324716406273472im	0.3398277288740681 + 0.3365105909105973im
-0.35058197532868496 + 0.0im	-0.1396456430714232 + 0.1264818780802138im	-0.48127904109625774 - 0.21853897692244517im	-0.48127904109625774 - 0.21853897692244503im	0.3416334091381738 + 0.3450208550028481im
-0.3471108666620643 + 0.0im	-0.140400974484062 + 0.12975409175444524im	-0.4837259490843551 - 0.22392013491568757im	-0.4837259490843551 - 0.2239201349156874im	0.3433249790541101 + 0.35367422667031867im
-0.3436741254079845 + 0.0im	-0.14120470262085852 + 0.13307965152457737im	-0.4861021385392826 - 0.22939011242637966im	-0.48610213853928225 - 0.22939011242637958im	0.34489743815352897 + 0.36246976395114033im
-0.34027141129503413 + 0.0im	-0.14205861427036368 + 0.1364580746253386im	-0.48840444846641556 - 0.23494827832616266im	-0.48840444846641556 - 0.2349482783261625im	0.34634574787775735 + 0.371406352951681im
-0.33690238742082584 + 0.0im	-0.14296498853805956 + 0.13988881030458472im	-0.4906296823282496 - 0.2405938933127708im	-0.4906296823282496 - 0.2405938933127706im	0.34766478500438297 + 0.38048270361753234im
-0.3335667202186394 + 0.0im	-0.1439251807992346 + 0.14337123832622245im	-0.49277463343218664 - 0.24632610735632948im	-0.4927746334321869 - 0.24632610735632918im	0.34884943586399486 + 0.3896973456827261im
-0.33026407942439545 + 0.0im	-0.14494146954784393 + 0.14690466754954554im	-0.4948360890014228 - 0.2521439572634712im	-0.49483608900142306 - 0.25214395726347116im	0.34989461522456144 + 0.39904862481318826im
-0.3269941380439559 + 0.0im	-0.14601568109594748 + 0.15048833459109434im	-0.49681080341055944 - 0.2580463643692483im	-0.49681080341055917 - 0.2580463643692481im	0.35079514126681416 + 0.4085346989605112im
-0.3237565723207484 + 0.0im	-0.14714974075384119 + 0.15412140257516313im	-0.49869548321997703 - 0.26403213236680545im	-0.49869548321997703 - 0.2640321323668053im	0.3515457645685295 + 0.41815353494213425im
-0.3205510617037113 + 0.0im	-0.14834557377433175 + 0.15780295997905255im	-0.5004869494219786 - 0.2700999452847994im	-0.5004869494219788 - 0.2700999452847992im	0.35214139436476 + 0.4279029052640156im
-0.3173772888155557 + 0.0im	-0.149605100405144 + 0.16153201957912433im	-0.5021819178661449 - 0.2762483656224738im	-0.5021819178661449 - 0.2762483656224736im	0.3525768446323705 + 0.43778038520175927im
-0.3142349394213423 + 0.0im	-0.1509302342679828 + 0.1653075175036569im	-0.5037771440587351 - 0.2824758326522385im	-0.5037771440587349 - 0.2824758326522383im	0.3528469326346022 + 0.4477833501560541im
-0.3111237023973686 + 0.0im	-0.15232287213429524 + 0.16912831239841392im	-0.5052693795174175 - 0.28878066089947435im	-0.5052693795174175 - 0.2887806608994742im	0.3529465212410786 + 0.4579089732980447im
-0.30804326970036494 + 0.0im	-0.15378492816876613 + 0.17299318471072944im	-0.5066554071809425 - 0.2951610388091377im	-0.5066554071809427 - 0.2951610388091376im	0.35287050247329105 + 0.46815422352002095im
-0.304993336336995 + 0.0im	-0.15531826864347853 + 0.17690083609778445im	-0.5079320228820146 - 0.30161502760853864im	-0.5079320228820146 - 0.3016150276085384im	0.35261378561382656 + 0.4785158637064741im
-0.3019736003336584 + 0.0im	-0.15692472952099873 + 0.18084988896459417im	-0.5090960364711754 - 0.3081405603754414im	-0.5090960364711754 - 0.30814056037544124im	0.3521713143463417 + 0.48899044934018426im
-0.29898376270659244 + 0.0im	-0.15860618137785307 + 0.18483888613704424im	-0.510144317340841 - 0.314735441320366im	-0.510144317340841 - 0.3147354413203657im	0.3515381537044937 + 0.4995743274575575im
-0.29602352743226973 + 0.0im	-0.160364423537101 + 0.1888662906751153im	-0.5110737337745982 - 0.3213973452916566im	-0.5110737337745985 - 0.32139734529165637im	0.35070930360922375 + 0.5102636359669165im
-0.29309260141808885 + 0.0im	-0.1622012420394543 + 0.192930485831204im	-0.5118812308560018 - 0.3281238175115368im	-0.5118812308560018 - 0.3281238175115365im	0.34967997431643694 + 0.5210543033428832im
-0.29019069447335527 + 0.0im	-0.16411839254894567 + 0.1970297751581986im	-0.5125637367592594 - 0.3349122735509819im	-0.5125637367592594 - 0.33491227355098163im	0.348445375492993 + 0.5319420487093213im
-0.28731751928054977 + 0.0im	-0.16611756493726146 + 0.20116238277168852im	-0.513118342777446 - 0.34175999955080383im	-0.513118342777446 - 0.3417599995508034im	0.34700073846356505 + 0.5429223823226308im
-0.284472791366881 + 0.0im	-0.16820047567072607 + 0.2053264537703913im	-0.513542055413346 - 0.3486641526958885im	-0.5135420554133464 - 0.34866415269588835im	0.34534154642289067 + 0.5539906064664166im
-0.28165622907611976 + 0.0im	-0.17036872000610867 + 0.20952005481855235im	-0.5138320528003342 - 0.35562176194900375im	-0.5138320528003338 - 0.3556217619490034im	0.34346334254146427 + 0.5651418167676906im
-0.27886755354071263 + 0.0im	-0.17262391600333105 + 0.21374117489372613im	-0.5139855820092821 - 0.36262972905005486im	-0.5139855820092821 - 0.36262972905005453im	0.3413616677559223 + 0.5763709039439134im
-0.2761064886541709 + 0.0im	-0.17496759659817723 + 0.217987726202979im	-0.513999883181901 - 0.3696848297860945im	-0.5139998831819013 - 0.3696848297860941im	0.3390322988168549 + 0.5876725559892046im
-0.2733727610437336 + 0.0im	-0.17740131042718815 + 0.22225754527016242im	-0.5138723568550565 - 0.37678371553674606im	-0.5138723568550567 - 0.3767837155367459im	0.3364711293968408 + 0.5990412608070376im
-0.2706661000433006 + 0.0im	-0.17992638455514873 + 0.2265483941964875im	-0.5136004556552071 - 0.3839229150990744im	-0.5136004556552071 - 0.3839229150990741im	0.33367412513734745 + 0.6104713092956897im
-0.26798623766663426 + 0.0im	-0.18254407273211984 + 0.2308579620962066im	-0.5131817097853802 - 0.39109883679522967im	-0.5131817097853802 - 0.3910988367952294im	0.3306376437223218 + 0.6219567988915629im
-0.265332908580826 + 0.0im	-0.1852559407948169 + 0.2351838667087433im	-0.5126137862566457 - 0.39830777086547614im	-0.5126137862566457 - 0.39830777086547586im	0.3273578095154182 + 0.633491637574344im
-0.2627058500800257 + 0.0im	-0.18806311494630684 + 0.23952365618815835im	-0.5118944323799242 - 0.40554589214846665im	-0.5118944323799242 - 0.40554589214846637im	0.32383128129052025 + 0.6450695483367481im
-0.26010480205943143 + 0.0im	-0.19096678059773972 + 0.2438748110703335im	-0.5110215016041959 - 0.41280926304984517im	-0.5110215016041959 - 0.4128092630498447im	0.32005470675863124 + 0.6566840741203im
-0.2575295069895361 + 0.0im	-0.19396797400489943 + 0.24823474641776863im	-0.5099929903808386 - 0.42009383679945245im	-0.509992990380839 - 0.42009383679945217im	0.3160249984687662 + 0.6683285832173408im
-0.2549797098906298 + 0.0im	-0.19706774739434804 + 0.2526008141413595im	-0.5088069542954897 - 0.4273954609965845im	-0.5088069542954899 - 0.42739546099658415im	0.3117389372418708 + 0.679996275138062im
-0.2524551583075543 + 0.0im	-0.20026704299321488 + 0.25697030549800487im	-0.5074616278727774 - 0.4347098814418953im	-0.5074616278727774 - 0.43470988144189515im	0.3071946056933267 + 0.6916801869400181im
-0.2499556022847072 + 0.0im	-0.20356669646938275 + 0.26134045376234843im	-0.5059554338600551 - 0.44203274625369227im	-0.5059554338600555 - 0.4420327462536918im	0.30238871458213396 + 0.7033732000161576im
-0.24748079434129425 + 0.0im	-0.2069674869773856 + 0.2657084370704113im	-0.5042868167388561 - 0.4493596102654478im	-0.5042868167388561 - 0.44935961026544735im	0.297319329858176 + 0.7150680473359744im
-0.24503048944682598 + 0.0im	-0.21047007203066687 + 0.27007138143232695im	-0.5024543763793656 - 0.4566859397005046im	-0.5024543763793656 - 0.4566859397005042im	0.29198429936569714 + 0.7267573211329456im
-0.2426044449968574 + 0.0im	-0.21407501958294736 + 0.27442636391082026im	-0.500456913489997 - 0.46400711711901077im	-0.5004569134899975 - 0.46400711711901016im	0.2863819276286375 + 0.7384334810299439im
-0.24020242078896772 + 0.0im	-0.21778281190145715 + 0.2787704159615251im	-0.498293368990813 - 0.4713184466312318im	-0.49829336899081333 - 0.4713184466312316im	0.2805105696367586 + 0.750088862592869im
-0.23782417899897795 + 0.0im	-0.22159384095801715 + 0.2831005269306583im	-0.4959628168018827 - 0.4786151593704653im	-0.495962816801883 - 0.478615159370465im	0.27436899834906464 + 0.7617156863012349im
-0.2354694841574039 + 0.0im	-0.22550839453805888 + 0.28741364770502736im	-0.49346456301579056 - 0.48589241921788356im	-0.4934645630157912 - 0.4858924192178833im	0.2679561537031698 + 0.773306066923021im
-0.23313810312614247 + 0.0im	-0.22952665720139018 + 0.2917066945087752im	-0.49079793481241457 - 0.4931453287707152im	-0.49079793481241485 - 0.4931453287707149im	0.2612712645212625 + 0.7848520232795998im
