w	self_d-self_d	selfc_d-self_d	self_d-selfc_d	selfc_d-selfc_d
-6.564575770928336e-6 + 0.0im	-0.1328980971415169 - 2.974878145696703e-10im	-0.009880201544390205 + 5.020606059719979e-11im	-0.009880194019502232 + 4.713623673383735e-11im	0.06458569828128892 - 7.741392922624096e-12im
-6.4995799712161745e-6 + 0.0im	-0.13290207675760982 - 2.9095553844199046e-10im	-0.009879706496169814 + 4.912764622872341e-11im	-0.009879698971500732 + 4.611815954220996e-11im	0.06458178772708922 - 7.644814376547325e-12im
-6.43522769427344e-6 + 0.0im	-0.13290601638667376 - 2.8443538418563275e-10im	-0.009879218212540316 + 4.805012939479245e-11im	-0.009879210688089082 + 4.510210780773971e-11im	0.06457791649653614 - 7.543003832300716e-12im
-6.371512568587564e-6 + 0.0im	-0.13290991643932232 - 2.779340087003915e-10im	-0.009878736588722917 + 4.697469532390777e-11im	-0.009878729064488527 + 4.408919418616432e-11im	0.06457408418523138 - 7.436547671742184e-12im
-6.308428285730261e-6 + 0.0im	-0.13291377732171622 - 2.714578822322525e-10im	-0.00987826152175993 + 4.590249231900271e-11im	-0.009878253997741468 + 4.308049370812839e-11im	0.06457029039317287 - 7.32599654002332e-12im
-6.245968599732931e-6 + 0.0im	-0.1329175994356183 - 2.650132805145755e-10im	-0.009877792910479898 + 4.4834630804139153e-11im	-0.009877785386676498 + 4.20770429802358e-11im	0.06456653472470061 - 7.211867134720427e-12im
-6.184127326468248e-6 + 0.0im	-0.13292138317844782 - 2.5860627759971467e-10im	-0.009877330655463439 + 4.377218247019613e-11im	-0.00987732313187428 + 4.10798394847814e-11im	0.0645628167884434 - 7.094643909257359e-12im
-6.12289834303787e-6 + 0.0im	-0.13292512894333303 - 2.522427393834293e-10im	-0.009876874659009788 + 4.271617952024598e-11im	-0.009876867135634102 + 4.008984097837325e-11im	0.06455913619726605 - 6.974780694195452e-12im
-6.062275587166207e-6 + 0.0im	-0.13292883711916376 - 2.459283178218647e-10im	-0.009876424825104048 + 4.1667614014951415e-11im	-0.009876417301941097 + 3.9107964989301714e-11im	0.06455549256821776 - 6.8527022399735905e-12im
-6.002253056600205e-6 + 0.0im	-0.13293250809064244 - 2.3966844583836555e-10im	-0.009875981059385107 + 4.062743731794672e-11im	-0.009875973536434213 + 3.813508841315043e-11im	0.06455188552248102 - 6.72880568466194e-12im
-5.942824808515055e-6 + 0.0im	-0.13293614223833547 - 2.3346833291494677e-10im	-0.009875543269114264 + 3.9596559640801675e-11im	-0.009875535746374774 + 3.717204720578794e-11im	0.0645483146853215 - 6.603461950250523e-12im
-5.883984958925797e-6 + 0.0im	-0.1329397399387223 - 2.2733296136087693e-10im	-0.009875111363144467 + 3.8575849686799596e-11im	-0.00987510384061577 + 3.62196361725262e-11im	0.06454477965222623 - 6.477017070931575e-12im
-5.825727682104749e-6 + 0.0im	-0.13294330156424541 - 2.2126708324856147e-10im	-0.009874685251890182 + 3.7566134392405755e-11im	-0.009874677729571686 + 3.527860885188965e-11im	0.06454128015791685 - 6.349793456755707e-12im
-5.768047210004702e-6 + 0.0im	-0.13294682748335798 - 2.1527521800472553e-10im	-0.00987426484729792 + 3.6568198764952005e-11im	-0.00987425732518907 + 3.434967749210336e-11im	0.06453781573817767 - 6.222091095948825e-12im
-5.710937831687824e-6 + 0.0im	-0.13295031806057211 - 2.0936165064284752e-10im	-0.009873850062817336 + 3.5582785814728307e-11im	-0.009873842540917605 + 3.3433513118092505e-11im	0.0645343860679324 - 6.094188699072283e-12im
-5.654393892760222e-6 + 0.0im	-0.13295377365650551 - 2.0353043062082725e-10im	-0.009873440813372951 + 3.461059657934805e-11im	-0.00987343329168182 + 3.253074568647898e-11im	0.06453099079213567 - 5.966344788094792e-12im
