w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-0.7771403995851182 + 0.0im	-1.1793628516667027 - 0.01481797506909211im	2.956404536792026e-6 + 9.598984967354386e-6im	2.9535881660753906e-6 + 9.599560104582422e-6im	-1.6694769356483263 - 0.03980656799926396im
-0.7694459401832853 + 0.0im	-1.1900739826346216 - 0.015145230643755395im	2.9867620219970337e-6 + 9.941884992377567e-6im	2.983860626823867e-6 + 9.942442313034754e-6im	-1.6914359680843776 - 0.04122666489286522im
-0.7618276635478072 + 0.0im	-1.2008723889686412 - 0.0154768556103822im	3.0159686667680705e-6 + 1.029690409370641e-5im	3.0129805499337567e-6 + 1.0297441832427844e-5im	-1.7137647825702351 - 0.042705471812036155im
-0.7542848153938685 + 0.0im	-1.2117586476450972 - 0.015812916013018305im	3.04387957995377e-6 + 1.0664491703143535e-5im	3.0408030438316605e-6 + 1.0665008034486798e-5im	-1.7364708500653525 - 0.04424620440263709im
-0.7468166489048202 + 0.0im	-1.222733385641103 - 0.01615348140708613im	3.0703268700703053e-6 + 1.1045113023293168e-5im	3.0671602176151836e-6 + 1.1045606061180695e-5im	-1.7595638151781645 - 0.04585227573383246im
-0.7394224246582378 + 0.0im	-1.2337971609314229 - 0.01649862477696934im	3.095152330961149e-6 + 1.1439249405963013e-5im	3.0918938733280234e-6 + 1.1439717203121025e-5im	-1.7830522785405414 - 0.0475273077104485im
-0.7321014105527107 + 0.0im	-1.244950580428752 - 0.01684842243792429im	3.118178225421634e-6 + 1.184739872872921e-5im	3.114826256037909e-6 + 1.1847839276118746e-5im	-1.8069450819192117 - 0.049275143069487125im
-0.7248528817353571 + 0.0im	-1.2561942405174735 - 0.017202953922935336im	3.139189315243423e-6 + 1.2270075768531123e-5im	3.1357421476628634e-6 + 1.2270486994766914e-5im	-1.8312519247992831 - 0.05109985798304569im
-0.7176761205300566 + 0.0im	-1.2675287212974706 - 0.01756230185525031im	3.1579751074475444e-6 + 1.2707812571010361e-5im	3.154431054053571e-6 + 1.2708192341762674e-5im	-1.8559823672048033 - 0.05300577528975617im
-0.7105704163663926 + 0.0im	-1.2789545886557683 - 0.017926551807450668im	3.1743042916582723e-6 + 1.3161158814142316e-5im	3.1706616677492603e-6 + 1.3161504931516823e-5im	-1.8811460601391823 - 0.05499747837659798im
-0.7035350657092996 + 0.0im	-1.2904724655153381 - 0.018295792148025528im	3.187932126747128e-6 + 1.3630682164527651e-5im	3.184189252253616e-6 + 1.3630992366418323e-5im	-1.9067530793379472 - 0.05707982573254529im
-0.6965693719894055 + 0.0im	-1.3020829239972682 - 0.018670113876529077im	3.1985900318902694e-6 + 1.411696862451902e-5im	3.194745230616845e-6 + 1.4117240583928561e-5im	-1.9328140691535347 - 0.05925796619497019im
-0.6896726455340648 + 0.0im	-1.3137865432052396 - 0.019049610448506626im	3.2059850780447227e-6 + 1.4620622868148947e-5im	3.2020366793700697e-6 + 1.4620854192471261e-5im	-1.9593393648540538 - 0.06153735490902713im
-0.682844203499074 + 0.0im	-1.3255839001501581 - 0.019434377591473616im	3.209827691078588e-6 + 1.5142268563604725e-5im	3.2057740320415136e-6 + 1.5142456793863946e-5im	-1.9863396337164771 - 0.0639237700193823im
-0.6760833698010634 + 0.0im	-1.3374755873438242 - 0.01982451311332454im	3.209767669363287e-6 + 1.5682548679760555e-5im	3.2056070917371138e-6 + 1.5682691289800688e-5im	-2.0138263836162444 - 0.06642333011260979im
-0.6693894750505578 + 0.0im	-1.3494621713544341 - 0.02022011670463292im	3.2054775165347834e-6 + 1.6242125774029448e-5im	3.201208373469659e-6 + 1.6242220169648783e-5im	-2.041810743173503 - 0.06904251242735066im
-0.6627618564857007 + 0.0im	-1.3615442473961643 - 0.020621289736379327im	3.196641266590524e-6 + 1.6821682258536027e-5im	3.1922618927913598e-6 + 1.682172577656045e-5im	-2.0703051728528807 - 0.07178817184789862im
