w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-1.1342575795005794 + 0.0im	-0.08137984096922542 - 0.001491039941116396im	4.209721152585847e-5 + 6.629725458692215e-5im	-4.2096703203220925e-5 - 6.629815687908979e-5im	0.10151869859988413 + 0.002836486256935418im
-1.1230273064362173 + 0.0im	-0.08212281701939173 - 0.0015409755838578538im	4.277175755018922e-5 + 6.88549991010998e-5im	-4.2771214638956356e-5 - 6.885592447736963e-5im	0.1026723841587743 + 0.002939298480413067im
-1.1119082241942746 + 0.0im	-0.08287139950519658 - 0.0015919267635587737im	4.34440420286762e-5 + 7.149252655630947e-5im	-4.344346302085831e-5 - 7.149347511880789e-5im	0.10384000690861488 + 0.0030448446866148623im
-1.1008992318755193 + 0.0im	-0.0836256064245291 - 0.0016438914590092193im	4.4113652174846655e-5 + 7.421195937448815e-5im	-4.411303553443089e-5 - 7.421293120282355e-5im	0.10502176099219739 + 0.0031531731045895506im
-1.089999239480712 + 0.0im	-0.0843854713654724 - 0.001696867174252309im	4.478021290246566e-5 + 7.70154924036119e-5im	-4.477955705177481e-5 - 7.701648755391908e-5im	0.10621785796994958 + 0.0032643334125863417im
-1.0792071678026853 + 0.0im	-0.08515101900317534 - 0.0017508509761366958im	4.544330366864693e-5 + 7.990539651931288e-5im	-4.544260698799877e-5 - 7.990641502328538e-5im	0.10742850095585818 + 0.0033783768769880375im
-1.0685219483194903 + 0.0im	-0.08592226264265267 - 0.001805839534569384im	4.610253579489841e-5 + 8.288402231882393e-5im	-4.610179662184064e-5 - 8.288506418273205e-5im	0.10865390901164916 + 0.003495356497641152im
-1.0579425230886044 + 0.0im	-0.08669922936430319 - 0.00186182916533667im	4.6757453551871766e-5 + 8.595380390190234e-5im	-4.675667018087475e-5 - 8.595486910559654e-5im	0.10989429928626031 + 0.0036153271594595695im
-1.0474678446421826 + 0.0im	-0.08748195771749079 - 0.0019188158753433995im	4.740768856044166e-5 + 8.91172627331299e-5im	-4.740685924086225e-5 - 8.911835122902672e-5im	0.11114989902103488 + 0.003738345790162554im
-1.037096875883349 + 0.0im	-0.08827046107273596 - 0.0019767954101031064im	4.805271351230539e-5 + 9.237701157977772e-5im	-4.8051836449808815e-5 - 9.237812329182716e-5im	0.11242093693234301 + 0.0038644715239936284im
-1.026828589983514 + 0.0im	-0.08906477917040008 - 0.0020357633032948206im	4.8692442948972796e-5 + 9.573575851926426e-5im	-4.869151630106777e-5 - 9.573689334189691e-5im	0.11370766050122308 + 0.003993765871254562im
-1.016661970280707 + 0.0im	-0.08986492204999807 - 0.002095714928185774im	4.9325571461958584e-5 + 9.919631101013426e-5im	-4.932459334512378e-5 - 9.919746880718503e-5im	0.11501028675295029 + 0.00412629289347853im
-1.0065960101789178 + 0.0im	-0.09067094079036997 - 0.00215664555070367im	4.995239093984673e-5 + 0.00010276158002043453im	-4.995135941759599e-5 - 0.00010276276062404035im	0.11632909049539743 + 0.004262119384058453im
