w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-0.9673189806167649 + 0.0im	0.09880161668580523 + 0.028243253728290285im	0.0027628789925124063 - 0.0012542946422785806im	0.0027628789925125226 - 0.0012542946422785775im	0.09880161668580577 + 0.028243253728290507im
-0.957741564967094 + 0.0im	0.10081178510971248 + 0.029418318114109925im	0.002804210720706823 - 0.001303675050399461im	0.0028042107207069404 - 0.0013036750503994583im	0.10081178510971305 + 0.029418318114110154im
-0.9482589752149445 + 0.0im	0.10285603896113109 + 0.030638676346311067im	0.0028473189827619683 - 0.001354501912316569im	0.00284731898276209 - 0.0013545019123165658im	0.10285603896113173 + 0.03063867634631133im
-0.9388702724900441 + 0.0im	0.10493449125301091 + 0.031905927016329556im	0.002892296572494471 - 0.0014067836645769638im	0.0028922965724945916 - 0.00140678366457696im	0.10493449125301146 + 0.03190592701632981im
-0.9295745272178654 + 0.0im	0.10704723854904796 + 0.03322171290782279im	0.002939239672656681 - 0.00146052606145192im	0.002939239672656805 - 0.0014605260614519186im	0.10704723854904856 + 0.03322171290782307im
-0.9203708190275894 + 0.0im	0.10919427227427979 + 0.03458772108837382im	0.0029882485446167226 - 0.0015157319603826686im	0.0029882485446168453 - 0.0015157319603826673im	0.10919427227428041 + 0.03458772108837412im
-0.9112582366609796 + 0.0im	0.11137563173893254 + 0.03600568290746489im	0.0030394243645283474 - 0.0015724011005330343im	0.0030394243645284745 - 0.0015724011005330348im	0.11137563173893315 + 0.036005682907465225im
-0.902235877882158 + 0.0im	0.11359125578654704 + 0.037477373895140664im	0.0030928722501224084 - 0.0016305298747148372im	0.00309287225012254 - 0.0016305298747148382im	0.11359125578654769 + 0.03747737389514098im
-0.8933028493882752 + 0.0im	0.11584105694829516 + 0.039004613555775794im	0.0031487088500382473 - 0.001690111094994745im	0.0031487088500383796 - 0.0016901110949947445im	0.11584105694829583 + 0.03900461355577615im
-0.8844582667210645 + 0.0im	0.11812489088285978 + 0.04058926505137495im	0.0032070391344019176 - 0.0017511337523359331im	0.00320703913440205 - 0.001751133752335934im	0.11812489088286048 + 0.040589265051375306im
-0.8757012541792718 + 0.0im	0.12044257530629761 + 0.042233234768859755im	0.0032679810595403077 - 0.001813582770673829im	0.00326798105954044 - 0.0018135827706738316im	0.1204425753062983 + 0.04223323476886015im
-0.8670309447319523 + 0.0im	0.12279386486399804 + 0.04393847176584477im	0.0033316544744715184 - 0.0018774387558726023im	0.0033316544744716567 - 0.0018774387558726058im	0.12279386486399876 + 0.04393847176584518im
-0.858446479932626 + 0.0im	0.12517846411786346 + 0.045706967089468774im	0.0033981808014969224 - 0.0019426777400572742im	0.0033981808014970642 - 0.0019426777400572796im	0.12517846411786412 + 0.04570696708946922im
-0.8499470098342832 + 0.0im	0.12759601163607248 + 0.047540752962930755im	0.0034676849512152315 - 0.002009270921865953im	0.0034676849512153725 - 0.002009270921865956im	0.12759601163607326 + 0.04754075296293123im
-0.8415316929052309 + 0.0im	0.13004608943225254 + 0.049441901834480474im	0.00354029469391769 - 0.0020771844032168403im	0.003540294693917832 - 0.002077184403216844im	0.13004608943225326 + 0.04944190183448093im
-0.8331996959457731 + 0.0im	0.13252821009584206 + 0.05141252528373722im	0.003616140643471124 - 0.002146378923235652im	0.0036161406434712683 - 0.0021463789232356585im	0.13252821009584284 + 0.05141252528373772im
